device,count
"mdf-pierce-b-sw.fas",2
"mdf-sc-b-sw.fas",2
"mdf-standish-bn-sw.fas",2
"mdf-wiggles-bb-sw.fas",2
"mdf-wjh-b-sw.fas",2
"mellen3-b-sw.law",2
"memchurch-mdf-sw1",2
"memhall-b-sw.fas",2
"memhall-b-sw1",2
"memhall-b-sw2",2
mitsw1,2
"moors-b-sw1",2
"mower-b-sw1",2
"mr-cgis-n-135-2-sw.fas",2
"mr-cgis-n-135-sw.fas",2
"mr-geomuseum-218-sw.fas",2
"mr-innerbelt200-2-sw.fas",2
"mr-langdell-186-sw.law",2
"mr-mass1414-1-gw.fas",2
"mr-mass1414-2-sw.fas",2
"mr-mass1414-387-sw1.fas",2
"mr-mass1414-n1-sw.fas",2
"mr-mass1414-s1-sw.fas",2
"mr-mass1414-s2-blade-1-sw.fas",2
"mr-mass1414-s2-sw.fas",2
"mr-mass1414-s3-1-fcsw.fas",2
"mr-mass1414-s3-sw.fas",2
"mr-mass1414-s5-sw.fas",2
"mr-mass1414-s6-sw.fas",2
"mr-mass1414-s8-1-sw.fas",2
"mr-mass1414-s8-2-sw.fas",2
"mr-mass1414-s9-blade-sw1.fas",2
"mr-mass1414-s9-blade-sw2.fas",2
"mr-mass1414-s9-sw.fas",2
"mr-maxdwork-b151-as-sw1.fas",2
"mr-maxdwork-b151-nexus-sw1.fas",2
"mr-maxdwork-b151-nexus-sw2.fas",2
"mr-maxdwork-b151-sw.fas",2
"mr-maxdworkx-ox60-sw.fas",2
"mr-ox60-1-9-fcsw.fas",2
"mr-ox60-1-9-sw.fas",2
"mr-ox60-1-9b-sw.fas",2
"mr-ox60-2-1-sw.fas",2
"mr-ox60-2-5-sw.fas",2
"mr-ox60-2-8-gw.fas",2
"mr-ox60-2-9-1-sw.fas",2
"mr-ox60-2-9-sw.fas",2
"mr-ox60-3-1-sw1.fas",2
"mr-sc-1-6-blade-1-sw.fas",2
"mr-sc-1-6-sw",2
"mr-sc-1-7-sw.fas",2
"mr-sc-1-gw.fas",2
"mr-sc-2-1-sw.fas",2
"mr-sc-2-sw.fas",2
"mr-sc-3-4-sw.fas",2
"mr-sc-4-2-sw.fas",2
"mr-sc-4-7-blade-sw1.fas",2
"mr-sc-4-7-blade-sw2.fas",2
"mr-sc-4-7-sw1.fas",2
"mr-sc-4-7-sw2.fas",2
"mr-sc-4-8-sw.fas",2
"mr-sc-526-sw.fas",2
"mr-sc-dce-sw.fas",2
"mr-sc-garden20-2-sw.fas",2
"mr-sc-imp-sw.fas",2
"mr-sc-m1-2-sw.fas",2
"mr-sc-m2-2-sw.fas",2
"mr-sc-m4-1-sw.fas",2
"mr-sc-m4-sw.fas",2
"mr-sc-m7-sw.fas",2
"mr-sc-n10-metro-sw.fas",2
"mr-sc-n10-sw.fas",2
"mr-sc-n6-sw.fas",2
"mr-sc-n7-sw.fas",2
"mr-sc-n8-sw.fas",2
"mr-sc-n9-sw.fas",2
"mr-sc-u12-1-sw.fas",2
"mr-sc-u13-sw.fas",2
"mr-sc-u2-sw.fas",2
"mr-sc-u2-wjh-sw.fas",2
"mr-sc-u8-1-sw.fas",2
"mr-sc-u8-2-sw.fas",2
"mr-sc-u8-3-sw.fas",2
"mr-summer1-1-3-sw.fas",2
"mr-summer1-1-8-sw.fas",2
"mr-summer1-2-5-sw",2
"mr-summer1-3-10-sw.fas",2
"mr-summer1-3-5-sw",2
"mr-summer1-3-9-sw.fas",2
"mr-summer1-4-5-sw",2
"mr-summer1-4-7-sw.fas",2
"mr-widener-5-sw.fas",2
"mr-widener-be-sw.fas",2
"mtaub10-1-sw1.law",2
"mtaub104-2-sw1",2
"mtaub104-2w-sw1.fas",2
"mtaub104-3-sw1.fas",2
"mtaub104-4-sw1",2
"mtaub104-mdf-3-sw1",2
"mtaub124-1-mdf-sw3",2
"mtaub124-1-mdf-sw4",2
"mtaub124-1-n-lab-sw1",2
"mtaub124-1-n-lab-sw2",2
"mtaub124-1-n-lab-sw3",2
"mtaub124-1-n-sw1",2
"mtaub124-165-s-sw1",2
"mtaub124-195-s-sw1",2
"mtaub124-2-n-sw1",2
"mtaub124-2-s-sw1",2
"mtaub124-2-s-sw2",2
"mtaub124-2117-s-sw1",2
"mtaub124-3-sw1",2
"mtaub124-4-m-sw1",2
"mtaub124-4-m-sw2",2
"mtaub124-4-n-sw1",2
"mtaub124-4-s-mech-sw1",2
"mtaub124-4-s-mech-sw2",2
"mtaub124-4-s-sw1",2
"mtaub124-5-n-sw1",2
"mtaub124-5-n-sw6",2
"mtaub124-5-sw1.law",2
"mtaub124-6-n-sw1",2
"mtaub124-mdf-sw1",2
"mtaub124-rm519-sw1",2
"mtaub125-3-sw1.law",2
"mtaub125-3-sw2.fas",2
"mtaub126-b-sw1.fas",2
"mtaub65r-1-sw1",2
"mtaub67-b-sw1.fas",2
"mtaub74-b-sw1.fas",2
"mtaub78-b-sw1.fas",2
"mtaub8-mdf-sw1",2
"mtaub90-1-sw1",2
"mtaub90-sb-sw1",2
"mtaub90-sb-sw2",2
"murr-2-sw1",2
"murr-3-sw.fas",2
"naito-032-sw1.fas",2
"naito-1-2-sw.fas",2
"naito-1-sw.fas",2
"naito-b-sw.fas",2
"nas-wjh-1-sw.fas",2
"nas-wjh-2-sw.fas",2
"newell-1-sw1",2
"newquincy-b-sw1",2
"nh175-1-idf-sw1",2
"nh175-1-sw2",2
"nh175-1-sw3",2
"nh175-garage-sw1",2
nh175sw1,2
"nichols-mdf-sw1",2
"nieman-2-sw1",2
"nieman-mdf-sw1",2
"noc-1-sw1",2
"noc-1-wrls-sw1",2
"noc-12-sw1",2
"noc-13-sw1",2
"noc-14-sw1",2
"noc-16-sw1",2
"noc-17-sw1",2
"noc-18-sw1",2
"noc-3-sw1",2
"noc-4-sw1",2
"noc-sum1-sw1",2
"noc-sum1-sw2",2
"noc-sum1-sw3",2
nocgw1,2
nocgw2,2
"northhall-3-sw.law",2
"nox-bbn-10moulton-sw1",2
"nox-bbn-300bent-sw1",2
"nox-bbn-camb-sw1",2
nox1sumgw1,2
nox1sumsw1,2
nox300gw1,2
nox300sw1,2
"nquincy-bs-sw1",2
"nquincy-bs-sw2",2
"nquincy-mdf-sw1",2
"nwlab-3n-1-sw.fas",2
"nwlab-3n-2-sw.fas",2
"nwlab-3n-3-sw.fas",2
"nwlab-3n-4-sw.fas",2
"nwlab-3n-5-sw.fas",2
"nwlab-3n-6-sw.fas",2
"nwlab-3s-1-sw.fas",2
"nwlab-3s-2-sw.fas",2
"nwlab-3s-3-sw.fas",2
"nwlab-b1n-2-sw.fas",2
"nwlab-b1n-3-sw.fas",2
"nwlab-b1n-sw.fas",2
"nwlab-b1s-1-sw.fas",2
"nwlab-b1s-2-sw.fas",2
"nwlab-b3n-2-sw.fas",2
"nwlab-b3n-sw.fas",2
"nwlab-b3s-sw.fas",2
"nwlab-b3s-sw2.fas",2
"nwlab-connectome-b436-sw.fas",2
"nwlabs-mdf-sw1",2
"oebgreen-1-sw.fas",2
"ox52gar-booth-sw1",2
"ox52gar-p1-sw1",2
"ox60-1-sw1",2
